"Visitor arrivals by country of residence and travel mode (Monthly)","","","","","","","","",""
"","Australia","China, People's Republic of","Japan","Korea, Republic of","Germany","United Kingdom","Canada","United States of America","TOTAL ALL COUNTRIES OF RESIDENCE"
" ","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES"
"1986M06",19135,50,3465,75,340,1450,1130,6300,39461
"1986M07",18410,90,3450,85,465,2425,1580,8080,43041
"1986M08",23566,130,4205,65,675,2460,1730,8886,50437
"1986M09",20730,125,4280,40,610,2340,1465,9440,48836
"1986M10",17286,138,4980,132,1140,3978,2670,17832,60612
"1986M11",20365,162,7764,210,1746,5580,5604,21612,79483
"1986M12",42690,222,7710,216,2076,9204,4110,15150,109380
"1987M01",23304,114,5874,246,1632,6942,4122,17376,77730
"1987M02",21780,336,8322,294,2214,7956,4854,21522,85908
"1987M03",24588,264,7764,120,1344,6180,3168,14010,70152
"1987M04",23244,126,4896,66,1146,3294,2868,15798,62820
"1987M05",18066,180,4350,270,528,3246,2028,8688,48180
"1987M06",20209,161,3752,105,378,2786,1407,8533,47103
"1987M07",23232,176,4832,264,576,2728,1592,10600,54048
"1987M08",20400,216,6552,152,704,3208,1344,10632,53600
"1987M09",27624,80,5576,88,520,2480,1656,11912,60240
"1987M10",23888,160,6432,112,1792,4480,3208,20696,76776
"1987M11",25150,210,9440,180,2810,6880,5280,23240,92300
"1987M12",43109,176,8360,121,2794,10868,4026,17347,115456
"1988M01",23914,220,7117,418,2255,9823,4081,17611,83545
"1988M02",20430,189,9729,297,3024,9351,4248,18306,85689
"1988M03",24300,198,8892,117,2178,7605,2763,12258,75735
"1988M04",18880,192,7160,112,1144,3872,2712,12600,60824
"1988M05",14508,351,6390,234,639,3222,2268,8829,49761
"1988M06",18632,216,5848,168,528,2704,1232,10704,51344
"1988M07",20583,234,6939,171,909,3429,2808,12546,60480
"1988M08",18100,220,7840,220,920,3760,2250,11210,58320
"1988M09",25480,160,7210,120,1320,3220,2620,11970,64920
"1988M10",18491,308,8008,110,1936,5852,4246,20911,76208
"1988M11",20449,374,9306,264,2717,7150,4455,17292,82082
"1988M12",42647,220,9350,242,2541,12716,3454,13288,115984
"1989M01",22253,209,8965,539,3091,8921,3949,11924,79794
